RK,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages
1,Frenkie de Jong,NED,CM,Barcelona,27,804019.0,41808988.0
2,Robert Lewandowski,POL,FW,Barcelona,35,714612.0,37159824.0
3,Kylian Mbappe,FRA,FW,Real Madrid,25,670016.0,34840832.0
4,Harry Kane,ENG,FW,Bayern Munich,31,536012.0,27872624.0
5,Kevin De Bruyne,BEL,MF,Manchester City,33,523631.0,27228812.0
6,Erling Haaland,NOR,FW,Manchester City,24,490904.0,25527008.0
7,David Alaba,AUT,CB,Real Madrid,32,482411.0,25085372.0
8,Dusan Vlahovic,SRB,FW,Juventus,24,476408.0,24773216.0
9,Casemiro,BRA,MF,Manchester Utd,32,458177.0,23825204.0
10,Mohamed Salah,EGY,FW,Liverpool,32,458177.0,23825204.0
11,Manuel Neuer,GER,GK,Bayern Munich,38,450250.0,23413000.0
12,Jude Bellingham,ENG,MF,Real Madrid,21,446606.0,23223512.0
13,Vinicius Junior,BRA,FW,Real Madrid,24,446606.0,23223512.0
14,Jan Oblak,SVN,GK,Atletico Madrid,31,446606.0,23223512.0
15,Thomas Muller,GER,MF,Bayern Munich,34,439530.0,22855560.0
16,Ousmane Dembele,FRA,FW,Paris S-G,27,428810.0,22298120.0
17,Leroy Sane,GER,RW,Bayern Munich,28,428810.0,22298120.0
18,Joshua Kimmich,GER,"DF,MF",Bayern Munich,29,418090.0,21740680.0
19,Lucas Hernandez,FRA,LB,Paris S-G,28,407369.0,21183188.0
20,Serge Gnabry,GER,"MF,FW",Bayern Munich,29,404582.0,21038264.0
21,Bruno Fernandes,POR,"MF,FW",Manchester Utd,29,392723.0,20421596.0
22,Marcus Rashford,ENG,FW,Manchester Utd,26,392723.0,20421596.0
23,Bernardo Silva,POR,"MF,FW",Manchester City,29,392723.0,20421596.0
24,Jack Grealish,ENG,FW,Manchester City,28,392723.0,20421596.0
25,Leon Goretzka,GER,DF,Bayern Munich,29,385929.0,20068308.0
26,Kai Havertz,GER,FW,Arsenal,25,366542.0,19060184.0
27,Kingsley Coman,FRA,"MF,FW",Bayern Munich,28,364488.0,18953376.0
28,Marquinhos,BRA,CB,Paris S-G,30,360200.0,18730400.0
29,Lautaro Martinez,ARG,FW,Inter,26,357413.0,18585476.0
30,Federico Valverde,URU,MF,Real Madrid,26,357413.0,18585476.0
31,Milan Skriniar,SVK,"DF,MF",Paris S-G,29,350767.0,18239884.0
32,Gabriel Jesus,BRA,FW,Arsenal,27,346906.0,18039112.0
33,Mason Mount,ENG,MF,Manchester Utd,25,327269.0,17017988.0
34,John Stones,ENG,MF,Manchester City,30,327269.0,17017988.0
