"region","rep.region"
"illinois","Central"
"indiana","Central"
"iowa","Central"
"michigan","Central"
"minnesota","Central"
"nebraska","Central"
"north dakota","Central"
"ohio","Central"
"south dakota","Central"
"wisconsin","Central"
"connecticut","East"
"delaware","East"
"district of columbia","East"
"maryland","East"
"new jersey","East"
"north carolina","East"
"pennsylvania","East"
"rhode island","East"
"virginia","East"
"west virginia","East"
"maine","North"
"massachusetts","North"
"new hampshire","North"
"new york","North"
"vermont","North"
"alabama","South"
"arkansas","South"
"florida","South"
"georgia","South"
"kansas","South"
"kentucky","South"
"louisiana","South"
"mississippi","South"
"missouri","South"
"oklahoma","South"
"south carolina","South"
"tennessee","South"
"texas","South"
"arizona","West"
"california","West"
"colorado","West"
"idaho","West"
"montana","West"
"nevada","West"
"new mexico","West"
"oregon","West"
"utah","West"
"washington","West"
"wyoming","West"
